id,work_title,movement,clef,keysig,timesig,pae_data,rism_id,rism_opac_link,tu_da_link
30627957,Symphonie in D-Dur GWV 542 (1748),2. Andante,G-2,xFC,3,Fehler:509,450002100,https://opac.rism.info/metaopac/search?View=rism&id=450002100,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-53/0002
30627959,Symphonie in D-Dur GWV 542 (1748),3. Presto,G-2,xFC,2/4,''8A/{D3DEFG}{8A'''D}/{''A'''D''A'''D}/{''D3DEFG}{8A'''D}/{''A'''D''AD}/,450002100,https://opac.rism.info/metaopac/search?View=rism&id=450002100,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-53/0002
30627962,Symphonie in D-Dur GWV 543 (1748),1. Allegro,G-2,xFC,3,{'8D''D}6-{'DD''D}{'D''D'D''D}/{'8D''D}6-{'DD''D}{'D''D'D''D}/{8'D''DFFAA}/,450002101,https://opac.rism.info/metaopac/search?View=rism&id=450002101,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-54/0002
30627964,Symphonie in D-Dur GWV 543 (1748),2. Largo e piano,G-2,xFCG,3,{'8.A6B}q''D{C'B8A}''q6E{DC8'B}/{6''C'A''8A}qnG4FE/{'8.E6F}qA{GF8E},450002101,https://opac.rism.info/metaopac/search?View=rism&id=450002101,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-54/0002
30627966,Symphonie in D-Dur GWV 543 (1748),3. Allegro,G-2,xFC,3,{'8D''DC'BAG}/{FBAGFE}/4''A'''DC/D''D-/,450002101,https://opac.rism.info/metaopac/search?View=rism&id=450002101,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-54/0002
30627969,Symphonie in D-Dur GWV 525 (1748),1. Allegro,G-2,xFC,c,{''8D'AAD}{DA}{8.At3B''C}/i/{6D'DFA}{''D'A''E'A},450002102,https://opac.rism.info/metaopac/search?View=rism&id=450002102,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-55/0002
30627971,Symphonie in D-Dur GWV 525 (1748),2. Menuet,G-2,xFC,3,''4D'AA/A{68.''D'ABG}/4ADD/qE2Dt{''6FG8A}/,450002102,https://opac.rism.info/metaopac/search?View=rism&id=450002102,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-55/0002
30627973,Symphonie in D-Dur GWV 525 (1748),3. Rigoudon,G-2,xFC,c,'4A/{6AB8''nC}{'BG}4B''xC/{6CD8E}{D'A}{''D'A''E'A}/{''6FG8A}{6AG8F},450002102,https://opac.rism.info/metaopac/search?View=rism&id=450002102,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-55/0002
30627975,Symphonie in D-Dur GWV 525 (1748),4. March,G-2,xFC,c,'8A/{''DDDD}!{8.Dt3CD}!f/{8EDDD}!{8.D3CD}!f/{8FD},450002102,https://opac.rism.info/metaopac/search?View=rism&id=450002102,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-55/0002
30627977,Symphonie in D-Dur GWV 525 (1748),5. Air en Menuet,G-2,xFC,3,''4D{6EF8G}{FE}/qG4F{8EF}{6DEFG}/{8AAA'''DD''A}/,450002102,https://opac.rism.info/metaopac/search?View=rism&id=450002102,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-55/0002
30627978,Symphonie in D-Dur GWV 525 (1748),6. Air en Bourée,G-2,xFC,c,''4D/8{C'A''D'A}{6''EF8G}4F/8'{AAAA}4A''D/8{'FFFF}4FA/,450002102,https://opac.rism.info/metaopac/search?View=rism&id=450002102,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-55/0002
30627982,Symphonie in D-Dur GWV 544 (1748),1. Allegro,G-2,xFC,3,{''8D'D}{6DFEF}{GAB''C}/i/{DCDE}{'AGAB}{FEFG}/,450002103,https://opac.rism.info/metaopac/search?View=rism&id=450002103,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-56/0002
30627983,Symphonie in D-Dur GWV 544 (1748),2. Largo e piano,G-2,xFCG,3,{'8.A''6C}4E{8.F3GA}/{'6B''8D6C}q4C'2B/{8.E6G}4B{''8.C3xDE}/,450002103,https://opac.rism.info/metaopac/search?View=rism&id=450002103,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-56/0002
30627984,Symphonie in D-Dur GWV 544 (1748),3. Presto,G-2,xFC,3/8,{'6DE8FE}/{DFA}/{''DFA}/{'''D''D}-/{A'A}-/{''D'D}-/,450002103,https://opac.rism.info/metaopac/search?View=rism&id=450002103,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-56/0002
30627987,Symphonie in G-Dur GWV 585 (1750),1. Allegro,G-2,xF,2/4,''8G/4G8-G/i/{'AA}{6AB''C'A}/{8BG}-''G/,450002104,https://opac.rism.info/metaopac/search?View=rism&id=450002104,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-57/0002
30627989,Symphonie in G-Dur GWV 585 (1750),2. Andante,G-2,bBE,3,'4D+{8.D6G}q8G{8.xF6''C}/q8C{'8.B6A}q8A4G-/G+{8.G''6C}q8C{'8.nB''6F}/,450002104,https://opac.rism.info/metaopac/search?View=rism&id=450002104,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-57/0002
30627991,Symphonie in G-Dur GWV 585 (1750),3. Menuet,G-2,xF,3,"'4G''DG/D--/C{8C'B''C'A}/4BD,G/",450002104,https://opac.rism.info/metaopac/search?View=rism&id=450002104,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-57/0002
