"Datenbank","Lokaler Schlüssel (915)","Lokaler Schlüssel (915.1)","Lokaler Schlüssel (915.2)","Lokaler Schlüssel (915.3)","Lokaler Schlüssel (915.4)","Lokaler Schlüssel (915.5)","Lokaler Schlüssel (915.6)","Lokaler Schlüssel (915.7)","Lokaler Schlüssel (915.8)","Lokaler Schlüssel (915.9)","Datensatz-ID (0)","Verfasser (100)","Verfasser (100.1)","Verfasser (100.2)","Verfasser (100.3)","Hrsg./Beteiligt (101)","Hrsg./Beteiligt (101.1)","Hrsg./Beteiligt (101.2)","Hrsg./Beteiligt (101.3)","Institution (110)","Institution (110.1)","Institution (110.2)","Institution (110.3)","Sonstige Institutionen (112.1)","Titel (200)","Titel (200.1)","Titel (200.2)","Titel (100000)","Verfasserangabe (245)","Verfasserangabe (245.1)","Ausgabe (250)","Ausgabe (250.1)","Ausgabe (250.2)","Ausgabe (250.3)","Ort (260)","Ort (260.1)","Ort (260.2)","Ort (260.3)","Verlag (270)","Verlag (270.1)","Verlag (270.2)","Verlag (270.3)","Erscheinungsjahr (280)","Erscheinungsjahr (280.1)","Erscheinungsjahr (280.2)","Umfang (300)","Umfang (300.1)","Reihe (400)","Reihe (400.1)","Reihe (400.2)","Reihe (400.3)","Fußnote (500)","Fußnote (500.1)","ISBN (490)","ISBN (490.1)","ISBN (490.2)","ISBN (490.3)","ISSN (491)","ISSN (491.1)","ISSN (491.2)","ISSN (491.3)","ISMN (492)","ISMN (492.1)","ISMN (492.2)","ISMN (492.3)","Systematik (080)","Systematik (080.1)","Thema (Schlagwort) (600)","Thema (Schlagwort) (600.1)","Thema (Schlagwort) (600.2)","Thema (Schlagwort) (600.3)","In (770)","In (770.1)","Signatur (852)","Signatur (852.1)","Signatur (852.2)","Signatur (852.3)","URL (850)","URL (850.1)","Standortsignatur (863.1)","Standortsignatur (863.2)",880,880.1
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002075",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/29",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002076",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,F,,G,,A,C",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/30",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002077",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/31",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002078",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/32",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002079",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/33",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002080",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/34",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002081",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,A,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/35",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002082",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/36",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002083",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/37",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002084",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/38",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002085",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/39",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002086",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/41",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002087",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlc, vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/40",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002088",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/42",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002089",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/43",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002090",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/44,I",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002092",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: fag, vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/45",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002093",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: fag, b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/46",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002094",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/47",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002095",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/48",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002096",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,C",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/49",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002097",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/50",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002098",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/51",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002099",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/52",,,,,,,,
