"Datenbank","Lokaler Schlüssel (915)","Lokaler Schlüssel (915.1)","Lokaler Schlüssel (915.2)","Lokaler Schlüssel (915.3)","Lokaler Schlüssel (915.4)","Lokaler Schlüssel (915.5)","Lokaler Schlüssel (915.6)","Lokaler Schlüssel (915.7)","Lokaler Schlüssel (915.8)","Lokaler Schlüssel (915.9)","Datensatz-ID (0)","Verfasser (100)","Verfasser (100.1)","Verfasser (100.2)","Verfasser (100.3)","Hrsg./Beteiligt (101)","Hrsg./Beteiligt (101.1)","Hrsg./Beteiligt (101.2)","Hrsg./Beteiligt (101.3)","Institution (110)","Institution (110.1)","Institution (110.2)","Institution (110.3)","Sonstige Institutionen (112.1)","Titel (200)","Titel (200.1)","Titel (200.2)","Titel (100000)","Verfasserangabe (245)","Verfasserangabe (245.1)","Ausgabe (250)","Ausgabe (250.1)","Ausgabe (250.2)","Ausgabe (250.3)","Ort (260)","Ort (260.1)","Ort (260.2)","Ort (260.3)","Verlag (270)","Verlag (270.1)","Verlag (270.2)","Verlag (270.3)","Erscheinungsjahr (280)","Erscheinungsjahr (280.1)","Erscheinungsjahr (280.2)","Umfang (300)","Umfang (300.1)","Reihe (400)","Reihe (400.1)","Reihe (400.2)","Reihe (400.3)","Fußnote (500)","Fußnote (500.1)","ISBN (490)","ISBN (490.1)","ISBN (490.2)","ISBN (490.3)","ISSN (491)","ISSN (491.1)","ISSN (491.2)","ISSN (491.3)","ISMN (492)","ISMN (492.1)","ISMN (492.2)","ISMN (492.3)","Systematik (080)","Systematik (080.1)","Thema (Schlagwort) (600)","Thema (Schlagwort) (600.1)","Thema (Schlagwort) (600.2)","Thema (Schlagwort) (600.3)","In (770)","In (770.1)","Signatur (852)","Signatur (852.1)","Signatur (852.2)","Signatur (852.3)","URL (850)","URL (850.1)","Standortsignatur (863.1)","Standortsignatur (863.2)",880,880.1
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002111",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/64",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002112",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/65",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002113",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: fag, b, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/66",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002114",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/67",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002115",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/68",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002116",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/69",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002117",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/70",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002118",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/71",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002119",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/72",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002120",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/73",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002121",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/74",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002122",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/75",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002123",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/76",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002124",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/77",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002125",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/78",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002126",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/79",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002127",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/80",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002128",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/81",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002129",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/82",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002130",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/83",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002131",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/84",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002132",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/85",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002133",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/86",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002134",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/87",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002135",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: fag, vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/88",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002136",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/89",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002137",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,F,,G,,A,C",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/90",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002138",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/91",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002139",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/92",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002140",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/93",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002141",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/94",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002142",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/95",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002143",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/96",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002144",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"timp in ,,G,,A,,B,D",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/97",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002145",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/98",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002146",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Comment on scoring: bc: vlne, cemb",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/99",,,,,,,,
"Internationales Quellenlexikon der Musik (RISM)",,"rism",,,,,,,,,"rism450002147",,"Graupner, Christoph",,,,,,,,,,,,,"Symphonies",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stimmen von anderer Hand",,,,,,,,,,,,,,,,,,,,,,"Mus.ms 470/100",,,,,,,,
